form,office,min_time,max_time
I-102,CSC,3.5,8
I-102,NBC,3.5,8
I-102,NSC,3.5,8
I-102,SSC,3.5,8
I-102,ESC,3.5,8
I-485,CSC,9.5,43.5
I-485,NSC,8.5,14.5
I-485,SSC,10,24.5
I-485,ESC,11.5,15
I-485,AGA,10.5,22
I-485,ALB,10.5,22
I-485,ABQ,10.5,22
I-485,ANC,10.5,22
I-485,ATL,13.5,23.5
I-485,BAL,10,23.5
I-485,BOI,10.5,22
I-485,BOS,9,21
I-485,BNY,19.5,36.5
I-485,BUF,10.5,22
I-485,CHL,8,26
I-485,CHA,10.5,22
I-485,CLT,10.5,22
I-485,CHI,13,34
I-485,CHR,10.5,22
I-485,CIN,10.5,22
I-485,CLE,10.5,22
I-485,CLM,10.5,22
I-485,DAL,18.5,23.5
I-485,DEN,9,24.5
I-485,DSM,10.5,22
I-485,DET,6.5,18.5
I-485,ELP,10.5,20.5
I-485,OFM,10.5,22
I-485,FSA,10.5,22
I-485,FRE,7,20
I-485,GRR,10.5,22
I-485,HLG,9,31.5
I-485,HAR,10.5,22
I-485,HEL,10.5,22
I-485,HIA,10,18.5
I-485,HHW,10.5,22
I-485,HOU,19.5,24
I-485,IMP,10.5,22
I-485,INP,8,20.5
I-485,JAC,7.5,18.5
I-485,KAN,7.5,26
I-485,KND,10.5,18.5
I-485,LVG,15,18
I-485,LAW,8,18.5
I-485,LNY,10,30
I-485,LOS,13.5,19.5
I-485,LAC,13,25.5
I-485,LOU,6.5,17
I-485,MAN,10.5,22
I-485,MEM,7.5,21.5
I-485,MIA,10.5,22
I-485,MIL,14.5,22
I-485,SPM,15,26.5
I-485,MGA,10.5,21
I-485,MTL,9.5,17
I-485,NTN,10.5,22
I-485,NEW,10.5,21.5
I-485,NOL,10.5,22
I-485,NYC,19,29
I-485,NOR,10.5,22
I-485,OKL,21,23.5
I-485,OKC,9.5,19
I-485,OMA,10.5,22
I-485,ORL,14,21.5
I-485,PHI,13.5,22
I-485,PHO,14.5,20
I-485,PIT,10.5,22
I-485,POM,10.5,22
I-485,POO,8,18
I-485,PRO,10.5,22
I-485,QNS,12.5,24.5
I-485,RAL,6.5,14.5
I-485,REN,10.5,22
I-485,SAC,8.5,18
I-485,STA,10.5,22
I-485,STL,10.5,22
I-485,SLC,16,18
I-485,SNA,8,17
I-485,SBD,7.5,18
I-485,SND,7.5,18.5
I-485,SFV,15,18
I-485,SFR,17.5,20.5
I-485,SNJ,9.5,19
I-485,SAJ,10.5,22
I-485,SAA,14,25
I-485,SEA,15.5,19.5
I-485,SPO,10.5,22
I-485,TAM,8.5,20
I-485,TUC,10.5,22
I-485,WAS,7.5,19
I-485,WPB,10,18
I-485,WIC,10.5,22
I-485,YAK,10.5,22
I-751,CSC,15,19.5
I-751,NSC,16,23.5
I-751,SSC,15.5,19.5
I-751,ESC,15.5,19.5
I-751,FOD,23,45
I-817,NBC,13,23.5
I-817,SSC,13,23.5
I-824,CSC,3.5,10.5
I-824,NBC,3.5,10.5
I-824,NSC,3.5,10.5
I-824,SSC,3.5,10.5
I-824,ESC,3.5,10.5
I-90,YSC,1.5,11.5
I-914,ESC,15.5,26
N-400,AGA,10,19.5
N-400,ALB,10,19.5
N-400,ABQ,5.5,16
N-400,ANC,10,19.5
N-400,ATL,14.5,29
N-400,BAL,12.5,20
N-400,BOI,10,19.5
N-400,BOS,6.5,19
N-400,BNY,15,19
N-400,BUF,6.5,14
N-400,CHL,4,13.5
N-400,CHA,10,19.5
N-400,CLT,9.5,13
N-400,CHI,9,18.5
N-400,CHR,10,19.5
N-400,CIN,4.5,11
N-400,CLE,3.5,12
N-400,CLM,5,13.5
N-400,DAL,16,20.5
N-400,DEN,11.5,17.5
N-400,DSM,12,17
N-400,DET,6.5,13
N-400,ELP,7.5,12
N-400,OFM,15,21.5
N-400,FSA,10,19.5
N-400,FRE,6.5,11.5
N-400,GRR,10,19.5
N-400,HLG,14,21
N-400,HAR,9.5,18
N-400,HEL,10,19.5
N-400,HIA,6.5,16
N-400,HHW,10.5,17
N-400,HOU,17,21.5
N-400,IMP,10,19.5
N-400,INP,5.5,15
N-400,JAC,4,13
N-400,KAN,5,11
N-400,KND,6.5,11
N-400,LVG,15.5,31
N-400,LAW,6.5,16
N-400,LNY,7.5,12
N-400,LOS,9.5,17
N-400,LAC,9.5,18.5
N-400,LOU,4,10
N-400,MAN,10,19.5
N-400,MEM,9.5,21
N-400,MIA,15.5,22.5
N-400,MIL,10,19.5
N-400,SPM,16,25
N-400,MGA,12,21.5
N-400,MTL,7,18
N-400,NTN,12.5,15
N-400,NEW,8.5,17
N-400,NOL,14.5,21
N-400,NYC,12,24.5
N-400,NOR,8.5,19.5
N-400,OKL,16,29
N-400,OKC,6.5,12.5
N-400,OMA,7.5,16.5
N-400,ORL,9,19.5
N-400,PHI,9.5,20
N-400,PHO,17,18
N-400,PIT,5.5,16
N-400,POM,10,19.5
N-400,POO,7,11
N-400,PRO,10,19.5
N-400,QNS,10.5,22
N-400,RAL,4,8
N-400,REN,10,19.5
N-400,SAC,9,13
N-400,STA,10,19.5
N-400,STL,7.5,21
N-400,SLC,16.5,19
N-400,SNA,13,17
N-400,SBD,5.5,13
N-400,SND,7.5,16
N-400,SFV,13,15.5
N-400,SFR,10,19.5
N-400,SNJ,10,19.5
N-400,SAJ,10,19.5
N-400,SAA,10.5,15
N-400,SEA,14.5,19
N-400,SPO,10,19.5
N-400,TAM,5,16
N-400,TUC,5,10.5
N-400,WAS,10.5,22.5
N-400,WPB,6.5,19.5
N-400,WIC,7,12.5
N-400,YAK,10,19.5
